Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Number of functional leaves (shooting),Number of functional leaves (harvest),Disease development time (days),Average youngest leaf spotted (between weeks 17 to 21),Data for YLS are averaged per replication (per block)
GrosMichel,B,7,GrosMichelB7,ratoon,NA,NA,NA,588,115,NA,NA,NA,NA,NA,8.5,NA,NA,NA,
GrosMichel,B,8,GrosMichelB8,ratoon,NA,NA,NA,588,115,NA,NA,NA,NA,NA,8.5,NA,NA,NA,
GrosMichel,B,9,GrosMichelB9,ratoon,NA,NA,NA,588,115,NA,NA,NA,NA,NA,8.5,NA,NA,NA,
GrosMichel,B,10,GrosMichelB10,ratoon,NA,NA,NA,588,115,NA,NA,NA,NA,NA,8.5,NA,NA,NA,
GrosMichel,C,1,GrosMichelC1,ratoon,NA,NA,NA,500,111,NA,NA,NA,NA,NA,8,NA,NA,NA,
GrosMichel,C,2,GrosMichelC2,ratoon,NA,NA,NA,500,111,NA,NA,NA,NA,NA,8,NA,NA,NA,
GrosMichel,C,3,GrosMichelC3,ratoon,NA,NA,NA,500,111,NA,NA,NA,NA,NA,8,NA,NA,NA,
GrosMichel,C,4,GrosMichelC4,ratoon,NA,NA,NA,500,111,NA,NA,NA,NA,NA,8,NA,NA,NA,
GrosMichel,C,5,GrosMichelC5,ratoon,NA,NA,NA,500,111,NA,NA,NA,NA,NA,8,NA,NA,NA,
GrosMichel,C,6,GrosMichelC6,ratoon,NA,NA,NA,500,111,NA,NA,NA,NA,NA,8,NA,NA,NA,
GrosMichel,C,7,GrosMichelC7,ratoon,NA,NA,NA,500,111,NA,NA,NA,NA,NA,8,NA,NA,NA,
GrosMichel,C,8,GrosMichelC8,ratoon,NA,NA,NA,500,111,NA,NA,NA,NA,NA,8,NA,NA,NA,
GrosMichel,C,9,GrosMichelC9,ratoon,NA,NA,NA,500,111,NA,NA,NA,NA,NA,8,NA,NA,NA,
GrosMichel,C,10,GrosMichelC10,ratoon,NA,NA,NA,500,111,NA,NA,NA,NA,NA,8,NA,NA,NA,
