Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Weight of fruit (g),Weight of fruit (g),Average weight of fruit (g),Fruit length (cm),Fruit length (cm),Average fruit length (cm),Fruit diameter (cm),Fruit diameter (cm),Average fruit diameter (cm),Number of functional leaves (shooting),Number of functional leaves (harvest),Distance of vascular discolouration in the pseudostem (cm) (harvest),Distance of vascular discolouration in the pseudostem of the following sucker (cm) (harvest of the mother plant),"Scale of vascular discolouration in the corm of the following sucker, slice 1","Scale of vascular discolouration in the corm of the following sucker, slice 2","Scale of vascular discolouration in the corm of the following sucker, slice 3","Scale of vascular discolouration in the corm of the following sucker, slice 4","Scale of vascular discolouration in the corm of the following sucker, slice 5"
BluggoeCachaco,15,300,8/22/2002,6/25/2003,9/17/2003,305,49,176,9.8,7,63,139.7,145.8,119.1,134.866666666667,16.3,13.9,15.1,10.26,13.7,13.8,15,8,0,0,1,1,1,1,1
BluggoeCachaco,16,302,8/22/2002,6/25/2003,9/14/2003,300,43,161,7.2,5,57,105.3,111.9,102.1,106.433333333333,15.5,14.9,15.2,10.27,12.8,12.85,11,3,239,0,1,1,1,1,1
BluggoeCachaco,17,349,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.28,NA,NA,NA,NA,249,150,5,5,5,5,5
BluggoeCachaco,18,350,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.29,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BluggoeCachaco,19,354,8/22/2002,9/4/2003,10/30/2003,352,49,223,8,5,60,110,102.7,101.5,104.733333333333,15.9,15.4,15.65,10.30,12.8,12.8,8,1,0,0,1,1,1,1,1
BluggoeCachaco,20,399,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31,NA,NA,NA,NA,NA,NA,1,1,1,1,1
CultivarRose,1,76,8/22/2002,4/9/2003,10/10/2003,128,34,235,7.6,11,165,37.6,43.8,33.4,38.2666666666667,10.9,9.6,10.25,10.32,8.9,9.25,12,5,0,0,1,1,1,1,1
CultivarRose,2,126,8/22/2002,5/30/2003,9/10/2003,210,28.5,215,4.2,11,111,30.6,38.1,27.9,32.2,11.7,10.4,11.05,10.33,8,8.35,13,5,0,0,1,1,1,1,1
CultivarRose,3,161,8/22/2002,4/11/2003,8/6/2003,184,26,188,3.8,9,102,33.3,36.9,36.9,35.7,10.2,10.3,10.25,10.34,9.3,9.2,12,7,0,0,1,1,1,1,1
CultivarRose,4,168,8/22/2002,3/26/2003,7/3/2003,122,22,125,4.3,8,80,45,50.4,38.2,44.5333333333333,10.8,10.3,10.55,10.35,8.9,9.45,12,7,0,0,1,1,1,1,1
CultivarRose,5,197,8/22/2002,4/21/2003,7/25/2003,187,28,185,5.8,10,117,42.7,45.3,37.8,41.9333333333333,11.3,10.9,11.1,10.36,8.5,8.9,13,7,0,0,1,1,1,1,1
CultivarRose,6,210,8/22/2002,4/14/2003,7/9/2003,198,32,180,9.4,9,153,53.6,49.8,45.6,49.6666666666667,11.4,12.1,11.75,10.37,9.4,9.65,12,10,0,0,1,1,1,1,1
CultivarRose,7,249,8/22/2002,4/11/2003,9/4/2003,155,28,151,8,10,121,57.9,49.7,45.2,50.9333333333333,13,12.1,12.55,10.38,9.4,9.4,12,7,0,0,1,1,1,1,1
CultivarRose,8,274,8/22/2002,4/30/2003,7/25/2003,190,28,169,8,10,121,57.9,47.8,35.4,47.0333333333333,12.3,11.1,11.7,10.39,8.3,8.75,12,9,0,0,1,1,1,1,1
CultivarRose,9,278,8/22/2002,6/25/2003,9/25/2003,224,24.5,177,5,10,122,36.1,NA,NA,36.1,NA,NA,NA,10.40,NA,NA,12,5,0,0,1,1,1,1,1
CultivarRose,10,362,8/22/2002,5/20/2003,8/28/2003,173,25,200,2.6,8,103,13.6,27.4,15.4,18.8,9.6,7.3,8.45,10.41,6.9,7.55,10,8,0,0,1,1,1,1,1
GrosMichel,1,14,8/22/2002,9/12/2003,11/28/2003,335,57.4,152,18.4,7,111,147.7,157.5,125.6,143.6,20.9,17.8,19.35,10.42,12.5,12.6,10,3,0,0,1,1,1,1,1
