"id","MLDS","MLWS","R10mm","R20mm","Rx1day","Rx5day","R95p","R99p","Rtotal","SDII","maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD","WSDI","CSDI","T10p","T90p","rhum_06","rhum_09","rhum_12","rhum_15","rhum_18"
"3193",7,45,71,34,113.550003051758,259.670000076294,1098.30999946594,450.389999389648,3613.85000681877,8.44925755635336,28.8782287597656,23.0542846679688,22.2229858398438,18.8299194335938,5,0,0,0,5,8,19.8572631835938,27.48330078125,96.1929370424875,84.3331717502924,75.6765094804175,79.8206800923917,91.1699246379083
"3194",3,201,70,35,38.7299995422363,120.920001029968,770.689998626709,183.979999542236,3423.66998374462,7.33901705920824,28.4448181152344,22.8518310546875,24.0253540039063,19.6051574707031,3,0,0,0,7,14,20.2990203857422,27.1316619873047,89.1711129396541,82.7008732140309,77.1507876517841,77.7059633702408,86.7923256045997
"mgis_20_c1",11,13,4,2,29.6200008392334,55.1800010204315,224.350002288818,88.980001449585,589.270001173019,3.8116092008014,29.8342529296875,25.2111755371094,25.9167419433594,22.1224914550781,3,0,123,0,5,8,22.7097534179688,28.8610565185547,87.4064947592246,81.9679503569732,73.1128994297337,75.5923741933462,78.2571809510927
"mgis_20_c2",15,8,1,2,39.0400009155273,46.4400008916855,147.790001869202,83.1200017929077,378.480002403259,3.71752138835434,29.7844482421875,25.109033203125,26.0542236328125,22.0683227539063,3,0,83,0,6,7,22.6755981445313,29.0643127441407,87.2956175748476,82.8467507121164,73.4575129111917,75.3031988329461,78.1417895662182
"mgis_6_c1",15,12,11,3,149.550003051758,206.110001564026,419.830001831055,257.820003509521,828.070001602173,5.39233533975607,29.5950866699219,24.2035766601563,26.0937438964844,21.8573852539063,3,0,108,0,6,10,22.4804901123047,28.7299255371094,87.3362125089799,82.0770431825484,73.4113678877381,75.6231770241397,78.124636913168
"mgis_6_c2",11,11,5,0,13.2799997329712,37.8900008201599,128.920000076294,35.9799995422363,462.130000114441,4.03937500176835,29.8596435546875,23.6309448242188,25.9258666992188,21.6786743164063,3,0,108,0,3,9,22.2757568359375,29.0882141113281,87.2950877030072,81.208846511544,73.4116083434584,76.1455195534554,78.3882170799641
"Ka_fp_1",11,27,30,4,30,56.9400005340576,356.949999809265,111.60000038147,1623.6700001955,5.09818731211238,31.0713134765625,22.8447509765625,19.66298828125,16.0274291992188,8,9,0,0,11,5,16.6578765869141,28.1886840820313,92.9753851121472,80.177283125539,66.5761971319875,64.0974611620749,71.1053280599656
"Ka_fp_2",11,27,32,4,30,56.9400005340576,382.270000457764,125.430000305176,1738.96000158787,5.10398305560025,31.0713134765625,22.833642578125,19.66298828125,16.0274291992188,8,9,0,0,11,5,16.6520263671875,28.17392578125,93.0833141853318,80.2762467396958,66.6391035487386,64.2888549775843,71.3967352003591
"Ka_fp_3",11,27,33,4,30,56.9400005340576,397.210000038147,126.539999961853,1807.37000203133,5.1023097882432,31.0713134765625,22.833642578125,19.66298828125,16.0274291992188,8,9,0,0,11,5,16.6520324707031,28.1469543457032,93.1548913680221,80.2988385369616,66.7058290275839,64.341777076233,71.512051061041
"Ka_fp_4",11,27,37,4,30,56.9400005340576,415.780000686646,130.160000801086,1919.72000265121,5.1579274681585,31.0713134765625,22.833642578125,19.66298828125,16.0263916015625,8,9,0,0,12,5,16.6497436523438,28.0947387695313,93.2101002580485,80.3265984819469,66.8264381906553,64.3883052132958,71.6133008751709
